ID,IN_TIME,REF_ID,CON_NUM,CON_SIZE,STATUS,Out_Time,Location
322,14-03-22 15:46:44,ALO11887,SPRE0057868,20,L,20-03-2022 17:21:45,J0000
322,14-03-22 15:46:44,ALO11887,ANKJ1447873,20,L,20-03-2022 17:21:45,J0001
322,14-03-22 15:46:44,ALO11887,ACLU3053768,20,L,20-03-2022 17:21:45,J0002
326,17-04-22 04:41:42,DP02MAR10,BUDE0578181,40,L,22-04-2022 20:46:39,J0200
326,17-04-22 04:41:42,DP02MAR10,UPDU1678037,20,E,20-04-2022 18:03:25,A0000
326,17-04-22 04:41:42,DP02MAR10,FZPU2318420,20,E,20-04-2022 18:03:25,A0001
326,17-04-22 04:41:42,DP02MAR10,EFYD6689495,20,E,20-04-2022 18:03:25,A0002
326,17-04-22 04:41:42,DP02MAR10,SHYS7657100,20,E,20-04-2022 18:03:25,A0003
326,17-04-22 04:41:42,DP02MAR10,ECHT3406160,20,E,20-04-2022 18:03:25,A0100
326,17-04-22 04:41:42,DP02MAR10,MPQD4457059,20,E,20-04-2022 18:03:25,A0101
326,17-04-22 04:41:42,DP02MAR10,EMVG7004395,20,E,20-04-2022 18:03:25,A0102
326,17-04-22 04:41:42,DP02MAR10,RNFL4704213,20,E,20-04-2022 18:03:25,A0103
326,17-04-22 04:41:42,DP02MAR10,KASH0692064,20,E,20-04-2022 18:03:25,A0200
326,17-04-22 04:41:42,DP02MAR10,CGHU4430259,20,E,20-04-2022 18:03:25,A0201
326,17-04-22 04:41:42,DP02MAR10,ZLXU8292183,20,E,20-04-2022 18:03:25,A0202
326,17-04-22 04:41:42,DP02MAR10,SDYU6422343,20,E,20-04-2022 18:03:25,A0203
326,17-04-22 04:41:42,DP02MAR10,EINJ6527750,20,E,20-04-2022 18:03:25,A0300
326,17-04-22 04:41:42,DP02MAR10,INOE3879979,20,E,20-04-2022 18:03:25,A0301
326,17-04-22 04:41:42,DP02MAR10,KOLX9140559,20,E,20-04-2022 18:03:25,A0302
326,17-04-22 04:41:42,DP02MAR10,WQHH9597517,20,E,20-04-2022 18:03:25,A0303
326,17-04-22 04:41:42,DP02MAR10,ZHXH0287646,20,E,20-04-2022 18:03:25,A0400
